team_key,logo_url
lamar cardinals,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/lamar_cardinals.png
lehigh mountain hawks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/lehigh_mountain_hawks.png
liberty flames,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/liberty_flames.png
lindenwood lions,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/lindenwood_lions.png
liu sharks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/liu_sharks.png
louisiana tech bulldogs,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/louisiana_tech_bulldogs.png
louisiana-lafayette ragin' cajuns,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/louisiana-lafayette_ragin'_cajuns.png
louisiana-monroe warhawks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/louisiana-monroe_warhawks.png
louisville cardinals,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/louisville_cardinals.png
loyola chicago ramblers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/loyola_chicago_ramblers.png
loyola marymount lions,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/loyola_marymount_lions.png
lsu tigers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/lsu_tigers.png
maine black bears,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/maine_black_bears.png
manhattan jaspers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/manhattan_jaspers.png
marist red foxes,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/marist_red_foxes.png
marquette golden eagles,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/marquette_golden_eagles.png
marshall thundering herd,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/marshall_thundering_herd.png
maryland terrapins,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/maryland_terrapins.png
massachusetts (umass) amherst minutemen,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/massachusetts_(umass)_amherst_minutemen.png
mcneese state cowboys,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/mcneese_state_cowboys.png
memphis tigers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/memphis_tigers.png
mercer bears,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/mercer_bears.png
merrimack warriors,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/merrimack_warriors.png
miami hurricanes,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/miami_hurricanes.png
miami oh redhawks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/miami_oh_redhawks.png
michigan state spartans,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/michigan_state_spartans.png
michigan wolverines,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/michigan_wolverines.png
middle tennessee state blue raiders,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/middle_tennessee_state_blue_raiders.png
milwaukee panthers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/milwaukee_panthers.png
minnesota golden gophers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/minnesota_golden_gophers.png
mississippi state bulldogs,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/mississippi_state_bulldogs.png
mississippi valley state delta devils,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/mississippi_valley_state_delta_devils.png
missouri state bears,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/missouri_state_bears.png
missouri tigers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/missouri_tigers.png
monmouth hawks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/monmouth_hawks.png
montana grizzlies,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/montana_grizzlies.png
montana state bobcats,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/montana_state_bobcats.png
morehead state eagles,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/morehead_state_eagles.png
morgan state bears,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/morgan_state_bears.png
murray state racers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/murray_state_racers.png
navy midshipmen,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/navy_midshipmen.png
ncaam,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/ncaam.png
nebraska cornhuskers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/nebraska_cornhuskers.png
nevada wolf pack,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/nevada_wolf_pack.png
new hampshire wildcats,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/new_hampshire_wildcats.png
new mexico lobos,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/new_mexico_lobos.png
new mexico state aggies,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/new_mexico_state_aggies.png
niagara purple eagles,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/niagara_purple_eagles.png
njit highlanders,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/njit_highlanders.png
norfolk state spartans,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/norfolk_state_spartans.png
north alabama lions,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/north_alabama_lions.png
north carolina a&t aggies,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/north_carolina_a&t_aggies.png
north carolina at charlotte (uncc) 49ers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/north_carolina_at_charlotte_(uncc)_49ers.png
north carolina central eagles,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/north_carolina_central_eagles.png
north carolina state (nc state) wolfpack,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/north_carolina_state_(nc_state)_wolfpack.png
north carolina tar heels,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/north_carolina_tar_heels.png
north dakota fighting hawks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/north_dakota_fighting_hawks.png
north dakota state bison,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/north_dakota_state_bison.png
north texas mean green,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/north_texas_mean_green.png
northern arizona lumberjacks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/northern_arizona_lumberjacks.png
northern colorado bears,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/northern_colorado_bears.png
northern illinois huskies,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/northern_illinois_huskies.png
northern iowa panthers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/northern_iowa_panthers.png
northern kentucky norse,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/northern_kentucky_norse.png
northwestern state demons,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/northwestern_state_demons.png
northwestern wildcats,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/northwestern_wildcats.png
notre dame fighting irish,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/notre_dame_fighting_irish.png
ohio bobcats,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/ohio_bobcats.png
ohio state buckeyes,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/ohio_state_buckeyes.png
oklahoma sooners,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/oklahoma_sooners.png
oklahoma state cowboys,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/oklahoma_state_cowboys.png
old dominion monarchs,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/old_dominion_monarchs.png
ole miss rebels,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/ole_miss_rebels.png
omaha mavericks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/omaha_mavericks.png
oral roberts golden eagles,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/oral_roberts_golden_eagles.png
oregon ducks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/oregon_ducks.png
oregon state beavers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/oregon_state_beavers.png
outh alabama jaguars,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/outh_alabama_jaguars.png
pacific tigers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/pacific_tigers.png
penn quakers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/penn_quakers.png
penn state nittany lions,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaam/penn_state_nittany_lions.png
