team_key,logo_url
grambling state tigers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/grambling_state_tigers.png
grand canyon antelopes,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/grand_canyon_antelopes.png
green bay phoenix,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/green_bay_phoenix.png
hampton pirates,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/hampton_pirates.png
harvard crimson,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/harvard_crimson.png
hawaii rainbow warriors,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/hawaii_rainbow_warriors.png
holy cross crusaders,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/holy_cross_crusaders.png
houston cougars,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/houston_cougars.png
howard bison,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/howard_bison.png
idaho state bengals,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/idaho_state_bengals.png
idaho vandals,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/idaho_vandals.png
illinois fighting illini,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/illinois_fighting_illini.png
illinois state redbirds,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/illinois_state_redbirds.png
incarnate word cardinals,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/incarnate_word_cardinals.png
indiana hoosiers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/indiana_hoosiers.png
indiana state sycamores,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/indiana_state_sycamores.png
iona gaels,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/iona_gaels.png
iowa hawkeyes,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/iowa_hawkeyes.png
iowa state cyclones,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/iowa_state_cyclones.png
iupui jaguars,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/iupui_jaguars.png
jackson state tigers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/jackson_state_tigers.png
jacksonville state gamecocks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/jacksonville_state_gamecocks.png
james madison dukes,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/james_madison_dukes.png
kansas jayhawks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/kansas_jayhawks.png
kansas state wildcats,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/kansas_state_wildcats.png
kennesaw state owls,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/kennesaw_state_owls.png
kent state golden flashes,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/kent_state_golden_flashes.png
kentucky wildcats,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/kentucky_wildcats.png
la salle explorers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/la_salle_explorers.png
lafayette leopards,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/lafayette_leopards.png
lamar cardinals,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/lamar_cardinals.png
